Always Show Pacing|始终显示消耗速度
Notifications|通知
Almost Out|额度即将用尽
Cutting It Close|额度可能不足
Will Run Out|预计提前用尽
Advanced|高级
Copy Log Path|复制日志路径
Reset All Settings…|重置所有设置…
Updates|更新
Check for Updates Automatically|自动检查更新
Tokens|Token
Cost/MTok|每百万 Token 费用
Cost|费用
Total Spend|总用量
Total Spend Metric|总用量统计指标
Total Spend period|总用量统计时段
Today|今天
Yesterday|昨天
30 Days|近 30 天
Estimated locally, so it may be off|本地估算，可能存在偏差
Unknown model found|发现价格未知的模型
Unknown models found|发现价格未知的模型
This period used a model with unknown pricing|此时段使用了价格未知的模型
Usage Trend|用量趋势
Usage trend chart details|用量趋势图详情
Resets expire in:|重置次数将在以下时间后到期：
Resets expire:|重置次数到期时间：
Estimated locally, so it may differ from billed usage.|本地估算，可能与实际计费用量不同。
Estimated value|估算值
~100% used at reset|重置时预计用尽额度
Item|项目
Settings changed before this operation could start.|操作开始前设置已发生变化。
Settings could not be saved.|无法保存设置。
Settings are unavailable.|设置不可用。
Settings could not be saved or reloaded.|无法保存或重新加载设置。
No metrics to show|没有可显示的指标
Canvas unavailable|画布不可用
No token data for this period|此时段暂无 Token 数据
No cost-per-token data for this period|此时段暂无单位 Token 费用数据
No cost data for this period|此时段暂无费用数据
Updates could not be checked.|无法检查更新。
The update could not be installed.|无法安装更新。
The OpenQuota download page could not be opened.|无法打开 OpenQuota 下载页面。
Waiting for first update|等待首次刷新
Next update unavailable|无法获取下次刷新时间
Try again later.|请稍后重试。
Try again or download the installer from the release page.|请重试，或从发行页面下载安装包。
An OpenQuota update is available.|OpenQuota 有可用更新。
OpenQuota window could not adapt to its content.|OpenQuota 无法根据内容调整窗口尺寸。
OpenQuota mount point was not found|找不到 OpenQuota 界面挂载点
Session|当前周期
Weekly|本周额度
Last 30 Days|最近 30 天
Credits|点数
Usage|用量
Rate Limit Resets|额度重置次数
Extra Usage|额外用量
Remaining|剩余
Reset|重置
Open OpenQuota|打开 OpenQuota
Settings…|设置…
Status|服务状态
Dashboard|网页面板
Spark Weekly|Spark 本周额度
Claude Weekly|Claude 本周额度
